Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"AGE5P - Age in Five Year Groups","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA2 (UR)",
"Baulkham Hills (East)",1209,1049,1122,1716,2030,1954,1654,1325,1166,1076,1139,941,665,421,277,154,23,0,17922,
"Baulkham Hills (West) - Bella Vista",1526,1591,1050,999,1296,1458,1484,1527,1393,1221,1108,675,420,230,132,32,7,3,16144,
"Glenhaven",430,396,255,169,311,358,449,434,447,419,367,348,299,211,154,48,12,0,5116,
"West Pennant Hills",975,910,649,625,702,760,821,1031,1061,1050,768,512,273,128,107,61,13,0,10438,
"Castle Hill - Central",472,383,426,550,666,612,510,451,439,384,427,303,200,118,69,19,9,0,6039,
"Castle Hill - East",370,349,173,131,230,298,340,393,368,247,226,227,260,336,423,315,104,5,4799,
"Castle Hill - North",868,733,509,516,697,885,865,915,813,810,737,519,330,197,131,51,0,0,9576,
"Castle Hill - South",597,580,444,592,691,717,656,611,582,613,537,409,239,138,94,29,11,0,7547,
"Castle Hill - West",444,337,264,274,334,395,446,417,392,272,255,136,77,43,28,11,0,0,4122,
"Cherrybrook",1594,1278,825,738,956,1370,1498,1536,1421,1216,987,671,467,333,253,155,42,0,15340,
"Kellyville",1767,1466,1141,1398,1810,2037,1892,1577,1348,1121,867,598,364,204,93,34,7,0,17721,
"Dural - Kenthurst - Wisemans Ferry",1656,1348,934,842,1011,1419,1666,1670,1455,1274,1309,968,627,424,262,130,31,0,17030,
"Galston - Laughtondale",351,295,209,210,223,354,404,385,396,316,304,269,197,131,110,63,17,3,4239,
"Bilpin - Colo - St Albans",156,122,107,97,129,204,222,261,224,172,200,182,80,50,16,11,3,0,2238,
"Kurrajong Heights - Ebenezer",1614,1416,1193,1106,1216,1523,1836,1703,1630,1324,1158,810,449,259,147,53,21,3,17471,
"Pitt Town - McGraths Hill",782,573,620,627,662,794,814,726,663,563,524,413,242,137,78,27,12,0,8253,
"Rouse Hill - Beaumont Hills",1824,1345,1063,1386,1822,2234,1924,1402,1150,908,712,502,264,149,69,36,5,0,16803,
"Blacktown (East) - Kings Park",835,1046,1884,2166,1548,1054,854,785,770,721,544,416,306,245,191,85,22,0,13487,
"Blacktown (North) - Marayong",1089,1294,1368,1561,1392,1188,978,1007,974,994,881,530,411,310,184,133,18,0,14315,
"Doonside - Woodcroft",1615,1684,1622,1848,1701,1524,1471,1445,1475,1225,954,552,306,226,115,61,6,0,17837,
"Lalor Park - Kings Langley",1561,1461,1677,1808,1890,1724,1658,1612,1592,1487,1257,775,535,460,279,119,32,5,19918,
"Seven Hills - Toongabbie",1459,1505,1692,1970,1980,1696,1551,1395,1420,1282,1224,869,527,352,178,65,10,0,19166,
"Blacktown (South)",823,858,895,993,943,878,760,792,695,595,472,347,338,204,98,33,3,0,9726,
"Blacktown (West)",1098,1172,1188,1396,1223,1036,1039,993,897,689,552,456,414,323,209,124,26,0,12833,
"Glenwood",1398,1106,906,965,1355,1383,1339,1135,872,692,538,330,205,95,52,8,0,0,12381,
"Parklea - Kellyville Ridge",1949,1691,1917,3100,3703,3277,2247,1680,1281,1091,811,491,328,158,84,12,8,0,23823,
"Riverstone - Marsden Park",1086,1037,1378,1644,1526,1323,1086,986,830,743,682,470,308,162,97,36,9,0,13407,
"Acacia Gardens",231,256,237,328,397,300,254,258,230,136,136,57,41,15,16,0,0,0,2900,
"Quakers Hill",1609,1501,1465,2083,2093,1805,1576,1440,1199,1014,758,403,236,143,109,46,10,3,17493,
"Bidwill - Hebersham - Emerton",1506,1382,1289,1157,1001,1084,1141,1102,980,897,935,630,365,199,83,26,0,0,13780,
"Glendenning - Dean Park",636,557,606,665,721,635,579,524,436,319,203,159,84,59,54,33,12,3,6276,
"Hassall Grove - Plumpton",1835,1689,1441,1455,1320,1508,1532,1491,1273,920,583,323,218,152,105,41,10,0,15896,
"Lethbridge Park - Tregear",1527,1502,1588,1706,1419,1224,1173,1041,958,793,767,696,459,241,86,30,8,0,15210,
"Mount Druitt - Whalan",1593,1622,1726,1902,1669,1451,1375,1288,1123,926,856,599,458,265,145,44,3,0,17044,
"Prospect Reservoir",5,5,3,0,7,0,9,0,0,3,3,0,0,0,0,0,0,0,32,
"Rooty Hill - Minchinbury",1551,1602,1506,1577,1577,1361,1339,1415,1314,1084,917,536,326,278,230,155,37,5,16786,
"Banksmeadow",0,0,5,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,19,
"Botany",552,695,763,852,895,956,786,755,564,473,385,304,242,167,108,61,7,0,8587,
"Mascot - Eastlakes",1414,2238,2840,2623,2050,1638,1460,1310,1166,1026,847,700,624,441,229,76,21,0,20715,
"Pagewood - Hillsdale - Daceyville",683,861,797,875,793,812,793,742,619,571,551,480,336,233,154,72,17,0,9382,
"Port Botany Industrial",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,
"Sydney Airport",4,0,12,12,5,3,4,7,6,0,7,0,6,0,0,0,0,0,61,
"Marrickville",919,2009,2914,2889,2309,2182,1896,1537,1441,1171,977,759,651,557,351,156,33,3,22757,
"Petersham - Stanmore",680,1547,2682,2386,1884,1728,1522,1219,1011,806,704,487,377,267,161,38,14,0,17522,
"Sydenham - Tempe - St Peters",277,618,791,902,777,668,590,474,409,369,273,174,138,100,66,29,6,0,6670,
"Darlinghurst",167,840,2054,1896,1257,932,799,712,615,480,450,257,142,107,40,12,4,0,10776,
"Erskineville - Alexandria",347,1141,2661,2694,1979,1523,1217,909,688,494,326,206,124,101,48,14,4,0,14481,
"Glebe - Forest Lodge",763,2448,2905,2401,1670,1366,1148,1054,1055,929,848,539,330,209,129,52,19,0,17870,
"Newtown - Camperdown - Darlington",1615,4199,4070,3058,2179,1817,1433,1239,955,733,541,345,217,171,97,27,7,0,22704,
"Potts Point - Woolloomooloo",419,1895,3630,3400,2118,1620,1396,1190,1192,952,879,585,386,305,242,133,50,4,20414,
"Pyrmont - Ultimo",981,3888,3794,3145,2075,1278,963,886,816,733,646,383,246,154,79,26,0,0,20093,
"Redfern - Chippendale",987,3869,4280,3128,1833,1325,1187,1050,941,745,645,418,392,237,146,35,9,0,21228,
"Surry Hills",280,1322,3087,2892,1834,1390,1071,946,724,619,419,323,282,199,144,73,16,0,15606,
"Sydney - Haymarket - The Rocks",1040,4785,6014,4659,2703,1450,1105,1040,890,780,660,449,269,158,107,40,10,0,26158,
"Waterloo - Beaconsfield",1943,4824,5924,5033,2879,1888,1523,1341,1200,970,927,662,505,372,163,62,15,0,30235,
"Bondi - Tamarama - Bronte",650,1012,2287,2448,1814,1446,1295,1016,817,688,686,462,400,267,183,83,22,0,15586,
"Bondi Beach - North Bondi",594,1148,2777,3256,2261,1761,1352,998,833,651,674,389,324,238,177,93,16,0,17543,
"Bondi Junction - Waverly",654,964,1729,1820,1555,1198,1154,929,817,669,685,560,496,437,346,238,68,5,14332,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",1168,1265,2280,2367,1831,1625,1585,1415,1422,1344,1509,1186,857,598,439,298,84,11,21296,
"Dover Heights",548,536,600,828,919,945,753,689,646,554,505,401,242,199,144,107,21,6,8650,
"Paddington - Moore Park",439,1010,1933,1858,1515,1163,1049,910,765,626,636,562,353,184,124,61,11,0,13194,
