Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by DTWP - 2 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"DTWP - 2 Digit Level","Nil distance","Over 0 km to less than 1 km","1 km to less than 2.5 km","2.5 km to less than 5 km","5 km to less than 10 km","10 km to less than 20 km","20 km to less than 30 km","30 km to less than 50 km","50 km to less than 100 km","100 km to less than 250 km","250 km and over","Not applicable","Total",
"SA2 (UR)",
"Baulkham Hills (East)",680,132,389,913,2479,2590,1913,1614,37,17,37,7125,17922,
"Baulkham Hills (West) - Bella Vista",779,90,571,1462,1603,2328,1413,1869,37,29,45,5916,16144,
"Glenhaven",306,35,58,252,580,746,422,445,21,7,6,2230,5116,
"West Pennant Hills",591,29,92,413,936,1987,1834,383,28,13,32,4094,10438,
"Castle Hill - Central",261,99,291,328,522,908,505,708,22,8,22,2356,6039,
"Castle Hill - East",156,31,48,194,255,631,496,279,8,5,12,2697,4799,
"Castle Hill - North",532,88,314,593,772,1526,843,983,36,17,30,3841,9576,
"Castle Hill - South",367,131,246,307,781,1236,706,775,20,6,21,2955,7547,
"Castle Hill - West",218,31,98,298,335,686,438,543,15,6,17,1440,4122,
"Cherrybrook",677,106,276,543,1178,2782,2565,824,43,12,61,6273,15340,
"Kellyville",873,88,305,1243,1929,2637,2169,2299,59,24,57,6041,17721,
"Dural - Kenthurst - Wisemans Ferry",1432,222,282,466,994,2422,1846,1913,329,25,46,7065,17030,
"Galston - Laughtondale",371,53,90,118,271,542,404,498,49,10,15,1831,4239,
"Bilpin - Colo - St Albans",187,18,10,15,51,52,104,284,340,31,3,1148,2238,
"Kurrajong Heights - Ebenezer",1163,135,130,224,821,2559,1401,2743,1349,59,56,6836,17471,
"Pitt Town - McGraths Hill",582,115,199,289,653,926,1134,810,339,10,29,3161,8253,
"Rouse Hill - Beaumont Hills",857,122,304,584,1882,2865,2150,2414,89,33,63,5445,16803,
"Blacktown (East) - Kings Park",296,156,503,615,1215,1857,1254,1554,25,25,38,5945,13487,
"Blacktown (North) - Marayong",264,93,290,717,1351,2061,1277,1473,26,27,39,6694,14315,
"Doonside - Woodcroft",354,88,220,821,1613,2732,1696,2310,45,25,45,7897,17837,
"Lalor Park - Kings Langley",602,131,435,1275,2262,2666,1778,1918,38,25,39,8757,19918,
"Seven Hills - Toongabbie",403,175,429,1178,2212,2690,1608,1808,32,23,44,8569,19166,
"Blacktown (South)",214,69,373,615,819,1485,728,845,8,10,28,4541,9726,
"Blacktown (West)",265,107,323,763,1038,1968,1152,1306,25,16,32,5842,12833,
"Glenwood",516,78,330,760,1285,1894,1436,1701,20,28,50,4286,12381,
"Parklea - Kellyville Ridge",884,152,452,893,2702,3687,2849,3749,77,45,93,8241,23823,
"Riverstone - Marsden Park",434,189,261,350,921,2412,1387,1879,99,27,43,5402,13407,
"Acacia Gardens",88,23,41,158,381,489,388,420,7,6,10,891,2900,
"Quakers Hill",554,114,159,559,2361,3021,1919,2631,51,30,48,6049,17493,
"Bidwill - Hebersham - Emerton",184,55,234,550,804,1694,939,966,54,14,27,8274,13780,
"Glendenning - Dean Park",132,63,139,203,679,1072,676,765,29,7,23,2504,6276,
"Hassall Grove - Plumpton",337,105,413,779,1282,2544,1752,2074,79,16,34,6472,15896,
"Lethbridge Park - Tregear",217,61,133,496,888,1932,1206,1590,182,25,39,8441,15210,
"Mount Druitt - Whalan",296,122,547,675,917,1788,1362,1824,61,21,36,9393,17044,
"Prospect Reservoir",4,5,0,0,3,0,0,0,0,0,5,14,32,
"Rooty Hill - Minchinbury",358,110,446,793,1415,2746,1410,2110,55,25,47,7270,16786,
"Banksmeadow",5,0,0,0,0,3,0,0,0,0,0,7,19,
"Botany",187,282,326,960,1856,1253,299,136,27,7,38,3216,8587,
"Mascot - Eastlakes",377,644,1289,2238,4972,1257,677,228,50,18,104,8868,20715,
"Pagewood - Hillsdale - Daceyville",216,163,571,953,1624,915,227,158,16,7,17,4502,9382,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,0,5,10,
"Sydney Airport",0,0,0,0,3,0,0,0,0,4,13,42,61,
"Marrickville",572,543,887,1605,6243,2432,768,273,65,26,81,9255,22757,
"Petersham - Stanmore",559,408,995,2114,4798,1665,589,222,47,22,55,6061,17522,
"Sydenham - Tempe - St Peters",166,176,308,664,1998,670,271,87,9,4,29,2289,6670,
"Darlinghurst",292,567,2461,1768,1018,491,174,82,30,18,70,3820,10776,
"Erskineville - Alexandria",393,452,1018,3485,3431,1102,597,190,55,21,72,3675,14481,
"Glebe - Forest Lodge",513,691,1652,4150,1628,1002,395,181,57,24,91,7488,17870,
"Newtown - Camperdown - Darlington",637,1030,1717,4219,3964,1441,711,222,66,33,119,8545,22704,
"Potts Point - Woolloomooloo",489,1364,2665,4193,1760,793,299,149,60,32,112,8499,20414,
"Pyrmont - Ultimo",358,1300,3647,2665,1438,1121,377,180,61,27,90,8822,20093,
"Redfern - Chippendale",359,795,2459,4312,1609,1049,485,202,62,23,74,9797,21228,
"Surry Hills",394,1116,2811,2980,1293,827,302,135,56,16,85,5607,15606,
"Sydney - Haymarket - The Rocks",404,3523,4954,1545,1785,1411,484,259,102,42,318,11334,26158,
"Waterloo - Beaconsfield",515,716,1591,6007,4744,1576,835,323,150,25,138,13619,30235,
"Bondi - Tamarama - Bronte",728,427,887,1038,4903,1250,465,216,40,9,79,5547,15586,
"Bondi Beach - North Bondi",820,669,729,1050,5673,1643,526,235,38,19,99,6037,17543,
"Bondi Junction - Waverly",540,765,632,1246,3734,774,442,152,32,11,67,5940,14332,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",1195,583,1209,3487,4043,1130,462,198,62,29,120,8773,21296,
"Dover Heights",566,208,341,687,2065,948,277,134,32,3,39,3351,8650,
"Paddington - Moore Park",651,485,1255,3998,1370,568,219,110,39,18,82,4407,13194,
"Rose Bay - Vaucluse - Watsons Bay",679,262,206,464,1954,1265,211,127,25,10,43,4183,9440,
"Woollahra",358,267,359,1281,1103,279,133,41,15,10,45,2658,6547,
"Coogee - Clovelly",945,450,1035,1555,6743,1693,732,299,88,22,131,7556,21250,
"Malabar - La Perouse - Chifley",627,298,555,1175,2730,3321,601,342,85,5,59,10242,20044,
"Kensington (NSW)",308,466,666,1732,2084,518,266,133,42,19,75,7103,13421,
"Kingsford",305,329,946,941,2561,527,336,139,46,6,39,7667,13835,
"Maroubra - North",320,149,229,654,1716,1099,254,139,29,14,33,3575,8211,
"Maroubra - South",272,141,261,633,1450,1479,290,154,40,8,29,4166,8926,
"Maroubra - West",219,250,305,705,1911,700,252,105,15,5,28,4081,8581,
"Randwick - North",526,441,1076,1410,4080,916,500,191,48,15,58,4928,14199,
"Randwick - South",330,571,895,700,3041,595,372,152,34,17,60,4473,11228,
"Bass Hill - Georges Hall",441,172,390,774,1804,1813,1557,171,28,9,20,9727,16921,
"Chullora",23,7,26,35,71,110,115,17,0,0,0,313,711,
"Condell Park",274,141,350,616,611,1059,885,107,13,11,20,4562,8652,
"Greenacre - Mount Lewis",567,315,812,1095,1653,2833,611,171,21,12,31,11552,19681,
"Padstow",382,99,299,660,1081,2196,2126,270,47,10,33,6457,13678,
"Panania - Milperra - Picnic Point",650,212,501,1024,1692,3014,3660,702,69,20,51,8961,20559,
"Revesby",341,144,483,614,912,1978,2132,292,37,12,40,6161,13143,
"Yagoona - Birrong",396,182,441,1040,1358,2010,1476,174,30,14,27,9063,16212,
"Bankstown - North",290,246,435,594,907,2117,888,132,23,11,17,6913,12582,
"Bankstown - South",212,258,580,564,828,1804,921,136,22,19,21,7234,12606,
"Belmore - Belfield",355,289,517,678,1648,3333,466,168,20,19,32,7989,15513,
"Canterbury (South) - Campsie",515,565,764,988,2808,6002,941,344,33,17,65,12794,25835,
"Kingsgrove (North) - Earlwood",620,155,488,995,2831,3989,750,231,49,14,44,9147,19311,
"Punchbowl",352,238,480,990,1089,2765,668,156,17,12,22,9290,16083,
"Roselands",253,166,326,547,991,2418,438,132,19,4,22,5501,10813,
"Lakemba",316,335,333,506,857,2408,406,144,18,12,25,7374,12733,
"Wiley Park",176,120,228,371,513,1647,310,81,12,11,10,4266,7740,
"Hurstville",381,551,800,770,989,5309,986,248,46,20,56,9992,20134,
"Mortdale - Penshurst",473,347,821,995,1326,5213,2043,305,51,21,68,8104,19780,
"Narwee - Beverly Hills",235,138,289,608,796,2846,599,139,20,9,25,5729,11438,
"Oatley - Hurstville Grove",373,169,396,550,743,2728,901,137,28,12,34,4331,10390,
"Peakhurst - Lugarno",519,154,356,669,1302,2498,1996,248,44,15,37,6846,14672,
"Riverwood",140,170,183,329,622,1689,921,85,19,13,20,5313,9508,
"South Hurstville - Blakehurst",581,377,594,1083,1501,5137,1142,291,67,21,60,9249,20101,
"Arncliffe - Bardwell Valley",365,328,383,815,3152,4445,666,295,61,8,53,7897,18469,
"Bexley",518,359,1008,1191,2033,5237,909,297,45,16,57,10079,21750,
"Kingsgrove (South) - Bardwell Park",289,156,221,628,989,2640,418,127,25,7,17,4842,10348,
"Kogarah",152,662,303,278,918,2624,428,136,38,8,26,3888,9456,
"Kogarah Bay - Carlton - Allawah",309,204,707,620,1017,3791,662,188,46,12,38,5652,13262,
"Monterey - Brighton-le-Sands - Kyeemagh",332,239,363,431,1608,2512,475,187,41,18,54,5473,11728,
"Rockdale - Banksia",264,356,603,576,2167,4676,755,270,34,15,42,7438,17184,
"Sans Souci - Ramsgate",371,215,334,633,1269,3325,627,230,42,13,52,6202,13316,
"Concord - Mortlake - Cabarita",648,402,586,1209,1582,4959,687,269,37,17,55,7566,18005,
"Concord West - North Strathfield",486,538,671,959,1765,6592,821,215,44,13,63,9020,21179,
"Drummoyne - Rodd Point",588,335,439,754,4417,1952,426,211,30,23,59,5910,15149,
"Five Dock - Abbotsford",589,371,429,857,3788,3151,520,208,29,15,71,6908,16930,
"Balmain",673,520,398,928,3810,1290,279,164,29,11,66,4783,12952,
"Leichhardt - Annandale",898,667,1037,2651,5557,2309,491,295,62,27,94,7356,21438,
"Lilyfield - Rozelle",488,358,449,1789,2748,1181,263,153,17,17,57,3883,11413,
"Ashfield",468,457,717,966,4789,3827,632,200,37,15,67,9281,21461,
"Burwood - Croydon",493,719,780,747,2095,5368,484,192,41,16,62,10651,21641,
"Canterbury (North) - Ashbury",245,160,255,505,1465,2081,254,97,15,15,23,3596,8698,
"Croydon Park - Enfield",399,235,562,984,1656,3449,361,154,29,12,38,6380,14260,
"Dulwich Hill - Lewisham",381,245,441,961,4189,1958,490,175,29,9,47,5318,14255,
"Haberfield - Summer Hill",422,242,466,800,3095,1384,309,101,16,0,31,4308,11186,
"Homebush",178,217,481,830,1091,4266,568,153,26,15,54,5847,13728,
"Strathfield",619,412,762,1119,1712,6467,734,256,38,31,80,9646,21870,
"Strathfield South",71,39,71,230,305,819,104,35,4,0,15,1228,2909,
"Chatswood (East) - Artarmon",668,1273,1307,1427,4250,3555,565,142,52,29,71,10336,23670,
"Chatswood (West) - Lane Cove North",607,363,992,1580,2843,3929,487,130,49,16,65,6202,17267,
"Lane Cove - Greenwich",915,440,1049,1961,4498,3479,650,232,70,24,86,8145,21559,
"St Leonards - Naremburn",301,551,686,787,2648,845,229,101,24,5,46,2680,8898,
"Willoughby - Castle Cove - Northbridge",1127,422,835,1811,4080,2640,390,179,45,22,67,8025,19651,
"Asquith - Mount Colah",712,131,257,841,1501,1755,2542,1274,62,18,45,5251,14393,
"Berowra - Brooklyn - Cowan",449,184,195,164,235,1329,1097,1944,163,31,38,3313,9140,
"Normanhurst - Thornleigh - Westleigh",629,197,481,1009,886,2489,2530,376,48,25,41,5954,14678,
"Hornsby - East",193,552,584,277,494,1610,1996,250,69,7,27,3629,9689,
