Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"SA2 (UR)",
"Baulkham Hills (East)",76,1994,858,980,1114,1125,1165,1157,1298,1553,1228,1162,940,1630,651,981,0,17922,
"Baulkham Hills (West) - Bella Vista",49,1998,880,994,981,850,1056,967,1150,1332,1038,981,748,1481,1000,628,0,16144,
"Glenhaven",17,457,241,310,309,374,371,345,354,380,317,293,242,380,450,269,0,5116,
"West Pennant Hills",32,1362,607,587,538,488,554,618,667,898,695,664,438,927,1007,364,0,10438,
"Castle Hill - Central",21,715,268,311,381,336,429,369,464,513,393,378,295,578,311,280,0,6039,
"Castle Hill - East",7,492,247,253,271,452,330,277,248,322,212,203,152,323,303,701,0,4799,
"Castle Hill - North",46,1141,479,635,542,529,636,611,709,761,583,550,410,822,712,408,0,9576,
"Castle Hill - South",22,931,393,434,424,406,448,523,508,664,522,452,353,669,460,334,0,7547,
"Castle Hill - West",20,572,209,236,202,204,228,234,254,346,248,255,230,433,319,147,0,4122,
"Cherrybrook",72,2183,846,915,955,838,864,893,1002,1182,923,873,696,1454,1064,585,0,15340,
"Kellyville",75,2157,900,934,977,855,984,1104,1296,1563,1216,1229,901,1746,977,795,0,17721,
"Dural - Kenthurst - Wisemans Ferry",83,1744,813,1010,1136,1135,1226,1096,1275,1351,1011,936,667,1136,1145,1252,0,17030,
"Galston - Laughtondale",13,399,193,245,290,299,334,305,284,349,266,252,174,254,263,323,0,4239,
"Bilpin - Colo - St Albans",8,167,79,158,193,174,174,159,167,205,109,95,79,77,40,364,0,2238,
"Kurrajong Heights - Ebenezer",80,1459,748,999,1132,1221,1222,1320,1607,1760,1212,1025,754,997,438,1495,0,17471,
