Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by INDP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"SA2 (UR)",
"Baulkham Hills (East)",25,28,706,102,953,537,1076,456,393,339,846,185,1201,346,573,1080,1348,142,408,324,130,6720,17922,
"Baulkham Hills (West) - Bella Vista",18,20,654,110,839,470,1125,575,354,280,750,191,1015,262,595,958,1368,152,369,359,104,5552,16144,
"Glenhaven",20,10,175,30,345,169,312,130,62,69,180,86,336,74,99,295,329,58,102,91,25,2113,5116,
"West Pennant Hills",15,16,354,39,431,342,605,290,189,221,544,165,913,168,272,640,793,59,187,226,57,3902,10438,
"Castle Hill - Central",5,3,225,26,288,195,364,189,121,104,259,80,419,100,181,374,473,59,160,138,46,2212,6039,
"Castle Hill - East",3,0,125,20,143,119,250,91,55,74,167,45,285,53,106,228,249,31,46,64,14,2625,4799,
"Castle Hill - North",19,15,326,62,514,309,670,296,149,150,363,158,669,164,247,586,715,96,173,195,42,3658,9576,
"Castle Hill - South",12,8,282,44,372,254,465,228,136,124,317,119,558,147,199,457,564,80,157,170,56,2798,7547,
"Castle Hill - West",8,3,149,27,193,139,290,106,77,75,218,65,318,75,161,268,301,42,94,111,25,1365,4122,
"Cherrybrook",18,17,459,53,496,493,901,446,286,352,802,162,1303,234,472,940,1214,91,240,271,81,5989,15340,
"Kellyville",38,17,795,121,1110,601,1281,599,368,286,882,259,1178,349,672,1112,1380,155,430,386,117,5579,17721,
"Dural - Kenthurst - Wisemans Ferry",382,40,598,72,1615,461,1065,482,314,170,370,294,923,335,305,967,1018,144,525,373,120,6464,17030,
"Galston - Laughtondale",103,14,107,18,341,114,238,123,67,42,111,77,267,77,99,253,239,37,122,100,23,1687,4239,
"Bilpin - Colo - St Albans",71,7,88,14,179,35,88,86,41,20,34,18,49,50,56,98,100,30,65,52,14,1027,2238,
"Kurrajong Heights - Ebenezer",413,45,735,146,1850,375,1010,503,471,207,226,191,594,349,713,1154,1083,192,578,445,145,6047,17471,
"Pitt Town - McGraths Hill",179,18,444,81,1092,196,494,265,261,51,159,98,249,161,258,386,437,84,289,239,59,2752,8253,
"Rouse Hill - Beaumont Hills",73,30,781,118,1117,606,1355,603,450,285,792,241,1033,293,713,976,1239,161,472,409,117,4952,16803,
"Blacktown (East) - Kings Park",49,9,626,77,585,343,778,529,684,169,367,84,530,330,472,393,985,78,258,301,166,5660,13487,
"Blacktown (North) - Marayong",42,12,640,81,717,366,806,537,568,126,394,72,407,292,474,468,1039,76,333,332,158,6379,14315,
"Doonside - Woodcroft",30,18,880,105,612,469,1071,553,833,230,723,104,553,349,644,520,1563,93,328,403,179,7586,17837,
"Lalor Park - Kings Langley",32,23,881,125,1125,538,1126,618,676,232,572,166,852,417,702,941,1428,157,465,507,173,8166,19918,
"Seven Hills - Toongabbie",23,16,893,117,918,496,1117,613,693,235,656,134,700,387,667,749,1435,109,412,477,168,8154,19166,
"Blacktown (South)",20,4,505,64,416,226,572,337,483,110,263,48,292,189,329,321,691,53,189,222,103,4286,9726,
"Blacktown (West)",33,9,577,57,594,325,750,485,632,130,366,79,370,261,440,394,953,65,269,312,174,5557,12833,
