Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"SA2 (POW)",
"Baulkham Hills (East)",76,152,6,0,0,2624,179,28,16,3,86,33,370,417,24,0,4021,
"Baulkham Hills (West) - Bella Vista",466,779,4,0,28,18090,754,75,88,54,194,55,615,1405,170,0,22769,
"Glenhaven",4,8,0,0,0,522,26,8,4,0,20,4,190,65,0,0,853,
"West Pennant Hills",110,52,0,0,0,1576,51,9,16,7,21,13,538,144,21,0,2556,
"Castle Hill - Central",113,254,0,0,18,6598,433,51,42,22,63,22,216,635,66,0,8541,
"Castle Hill - East",29,53,0,0,0,873,49,4,6,0,22,3,90,132,7,0,1276,
"Castle Hill - North",92,365,0,0,3,3225,320,22,13,0,151,18,364,783,44,0,5395,
"Castle Hill - South",25,89,0,3,0,1376,93,13,0,10,62,9,234,206,17,0,2131,
"Castle Hill - West",3,14,3,0,0,245,11,4,0,0,4,4,135,26,6,0,460,
"Cherrybrook",47,58,0,0,0,1345,107,0,9,8,70,10,435,251,17,0,2359,
"Kellyville",37,74,0,0,8,2357,155,33,10,0,58,20,477,306,35,0,3569,
"Dural - Kenthurst - Wisemans Ferry",38,82,7,4,0,5389,378,151,35,8,251,40,1038,706,71,0,8200,
"Galston - Laughtondale",14,13,0,0,0,985,71,14,6,4,65,20,268,144,21,0,1623,
"Bilpin - Colo - St Albans",0,0,3,0,0,237,10,12,4,0,38,14,101,47,4,0,486,
"Kurrajong Heights - Ebenezer",18,4,3,0,0,2040,143,164,8,9,115,32,702,271,44,0,3551,
"Pitt Town - McGraths Hill",123,11,0,0,5,3424,284,130,23,8,103,20,368,307,42,0,4849,
"Rouse Hill - Beaumont Hills",63,220,5,0,0,3594,381,89,20,12,108,21,554,644,46,0,5761,
"Blacktown (East) - Kings Park",1530,596,3,3,38,13813,1132,148,72,43,340,53,182,1692,188,0,19826,
"Blacktown (North) - Marayong",68,35,0,0,6,1264,85,23,3,3,54,14,115,142,17,0,1824,
"Doonside - Woodcroft",63,35,0,0,12,1159,122,25,0,3,51,22,163,173,22,0,1862,
"Lalor Park - Kings Langley",502,208,0,5,23,9818,596,173,71,28,92,45,371,663,110,0,12713,
"Seven Hills - Toongabbie",324,124,0,3,18,4780,381,74,20,8,147,24,221,517,90,0,6718,
"Blacktown (South)",23,15,0,0,12,678,34,17,0,0,20,15,81,101,7,0,1008,
"Blacktown (West)",55,38,0,0,18,1052,80,21,0,5,36,12,125,107,19,0,1569,
"Glenwood",20,40,0,0,12,970,79,14,3,8,55,13,243,164,14,0,1623,
"Parklea - Kellyville Ridge",55,105,0,0,9,2211,242,32,5,11,106,37,495,374,33,0,3730,
"Riverstone - Marsden Park",125,65,0,0,13,4808,355,178,17,15,124,26,310,416,53,0,6502,
"Acacia Gardens",6,5,0,0,0,152,8,4,0,0,11,3,28,18,6,0,240,
"Quakers Hill",85,35,0,3,10,1544,106,35,3,11,62,14,280,206,17,0,2412,
"Bidwill - Hebersham - Emerton",29,23,3,0,10,989,109,13,8,3,57,0,72,121,23,0,1462,
"Glendenning - Dean Park",79,69,0,0,12,3976,235,90,22,22,46,26,69,198,58,0,4908,
"Hassall Grove - Plumpton",30,49,0,0,9,1383,185,21,0,7,56,11,139,224,28,0,2147,
"Lethbridge Park - Tregear",21,17,0,0,7,685,63,16,0,0,35,19,103,88,10,0,1061,
"Mount Druitt - Whalan",321,202,3,0,19,4544,568,44,11,9,157,32,158,661,88,0,6825,
"Prospect Reservoir",292,159,9,7,15,14447,938,231,124,39,25,44,42,783,194,0,17360,
"Rooty Hill - Minchinbury",234,139,4,0,34,7738,571,146,60,23,93,53,168,730,119,0,10101,
"Banksmeadow",304,167,0,3,10,4148,186,91,48,42,47,12,20,245,61,0,5395,
"Botany",458,264,0,3,11,4851,242,111,63,42,148,29,157,292,66,0,6750,
"Mascot - Eastlakes",4493,594,4,5,231,11146,625,81,164,220,599,103,339,1919,191,0,20723,
"Pagewood - Hillsdale - Daceyville",184,504,0,0,7,2363,227,30,25,20,151,15,149,473,36,0,4173,
"Port Botany Industrial",140,71,0,0,0,3308,141,35,49,27,37,9,16,249,38,0,4120,
"Sydney Airport",2002,593,10,4,84,8598,438,27,194,91,88,46,41,1972,141,0,14329,
"Marrickville",2259,516,4,10,37,7057,560,115,88,162,636,70,444,817,150,0,12919,
"Petersham - Stanmore",739,208,0,0,16,2436,147,27,40,71,325,22,397,410,50,0,4897,
"Sydenham - Tempe - St Peters",918,111,0,0,13,3395,210,91,59,74,176,22,168,329,58,0,5625,
"Darlinghurst",3059,1597,25,11,50,3343,315,13,185,275,1320,43,356,1067,102,0,11767,
"Erskineville - Alexandria",4281,862,10,9,123,13025,672,166,265,424,877,108,454,1214,180,0,22677,
"Glebe - Forest Lodge",1041,812,8,72,28,2742,185,15,101,164,630,31,453,602,59,0,6953,
"Newtown - Camperdown - Darlington",4237,2367,11,10,47,6645,576,15,185,582,2481,74,689,1904,173,0,19986,
"Potts Point - Woolloomooloo",4280,1067,47,9,48,3764,312,14,313,328,1465,776,554,996,127,0,14091,
"Pyrmont - Ultimo",11173,4573,293,1101,157,9182,913,40,583,809,2865,100,777,2532,292,0,35402,
"Redfern - Chippendale",5201,932,17,16,61,4011,292,21,171,372,1206,62,434,918,124,0,13835,
"Surry Hills",12248,3640,68,143,168,5002,688,16,455,649,2598,119,681,1803,226,0,28502,
"Sydney - Haymarket - The Rocks",150346,59928,7277,1196,1664,32285,5418,181,2506,3996,17037,971,4804,17878,2331,0,307811,
"Waterloo - Beaconsfield",2359,819,7,3,44,7677,471,50,146,207,759,57,502,763,115,0,13972,
"Bondi - Tamarama - Bronte",322,192,3,0,10,1390,94,22,40,48,274,27,539,201,27,0,3183,
"Bondi Beach - North Bondi",457,287,4,5,4,1503,143,31,79,78,653,36,609,349,30,0,4259,
"Bondi Junction - Waverly",4079,1810,3,5,28,5010,439,30,171,135,1100,51,496,1469,147,0,14964,
"Centennial Park",14,8,0,0,0,45,0,0,0,0,7,0,3,11,0,0,101,
"Double Bay - Bellevue Hill",1749,311,10,0,44,4276,253,21,100,52,589,67,947,703,84,0,9208,
"Dover Heights",68,61,4,0,0,689,43,11,15,4,66,29,370,86,17,0,1457,
"Paddington - Moore Park",1138,899,8,3,49,4061,286,27,153,233,765,48,582,745,73,0,9082,
"Rose Bay - Vaucluse - Watsons Bay",329,257,11,0,7,2115,133,10,77,11,298,40,480,315,36,0,4134,
"Woollahra",333,235,0,0,12,1222,72,7,16,32,242,14,320,203,21,0,2735,
"Coogee - Clovelly",183,306,0,0,8,1615,126,40,40,26,338,31,650,320,44,0,3730,
