Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by INCP Total Personal Income (weekly) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"INCP Total Personal Income (weekly)",
"Negative income",325,130,16,4,9,1270,168,45,11,22,147,79,459,267,128,16770,19850,
"Nil income",1006,473,26,9,24,3372,941,80,31,43,530,146,1529,2019,613,392338,403180,
"$1-$149 ($1-$7,799)",5721,4216,28,38,79,13687,10600,63,116,306,4320,281,3265,15755,786,85825,145088,
"$150-$299 ($7,800-$15,599)",9961,4973,62,59,134,28499,5720,201,223,307,4547,416,5194,13875,1035,153566,228771,
"$300-$399 ($15,600-$20,799)",13047,5289,61,73,269,35153,5292,400,272,356,5037,555,5892,11481,1211,179272,263660,
"$400-$499 ($20,800-$25,999)",15542,6180,85,95,404,45480,5733,637,405,474,5518,618,5622,11234,1405,151387,250824,
"$500-$649 ($26,000-$33,799)",21443,8349,130,173,481,77475,7736,1220,658,742,7284,844,7793,14290,1737,84794,235150,
"$650-$799 ($33,800-$41,599)",29556,10488,193,193,492,108846,9490,1870,916,883,8258,981,7492,13741,1980,53394,248771,
"$800-$999 ($41,600-$51,999)",39060,12768,340,281,502,145604,9697,2897,1508,1328,9266,1148,7914,14571,2095,40433,289407,
"$1,000-$1,249 ($52,000-$64,999)",47426,15159,536,373,487,162986,8132,3485,2022,1499,9660,1325,8794,15541,1874,33292,312593,
"$1,250-$1,499 ($65,000-$77,999)",36791,12014,623,336,396,118166,5006,2388,1479,1429,7257,918,6812,11513,1165,17829,224101,
"$1,500-$1,749 ($78,000-$90,999)",33458,11262,734,279,383,100486,3825,1840,1358,1552,6723,880,7010,10382,890,13569,194630,
"$1,750-$1,999 ($91,000-$103,999)",24779,8726,652,242,339,73271,2610,1062,1169,1386,4692,599,4737,7408,566,8576,140814,
"$2,000-$2,999 ($104,000-$155,999)",47431,18588,1879,534,750,107895,3853,1066,2256,3019,8314,1027,9524,10925,809,12900,230754,
"$3,000 or more ($156,000 or more)",28401,16330,3398,466,1629,76003,3239,410,1859,2576,6588,1050,8608,6546,705,13605,171407,
"Not stated",4161,1737,118,32,88,16361,1317,452,157,201,1093,264,1146,2006,2529,265712,297384,
"Not applicable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",358098,136672,8875,3183,6465,1114562,83349,18107,14437,16123,89245,11127,91792,161550,19528,1523268,3656387,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
