Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"SA2 (UR)",
"Baulkham Hills (East)",391,1986,3,3,18,6728,379,77,43,28,101,52,458,860,70,6720,17922,
"Baulkham Hills (West) - Bella Vista",606,1215,4,5,12,6543,380,55,39,21,170,46,540,890,65,5552,16144,
"Glenhaven",97,206,0,3,8,2025,83,26,11,3,24,7,220,257,26,2113,5116,
"West Pennant Hills",377,1029,0,5,11,3719,234,31,22,21,28,26,484,524,29,3902,10438,
"Castle Hill - Central",95,627,0,0,0,2323,126,20,19,11,84,18,204,279,21,2212,6039,
"Castle Hill - East",139,282,0,0,3,1326,80,0,9,0,24,7,109,174,13,2625,4799,
"Castle Hill - North",186,732,5,3,6,3665,212,25,27,16,115,20,426,451,28,3658,9576,
"Castle Hill - South",142,722,0,0,6,2870,179,27,25,13,88,18,277,354,34,2798,7547,
"Castle Hill - West",102,385,0,0,5,1707,103,17,6,0,19,13,167,210,18,1365,4122,
"Cherrybrook",897,1420,3,0,14,5141,301,28,39,19,89,44,538,777,46,5989,15340,
"Kellyville",378,1427,0,3,15,8007,454,84,38,27,74,47,623,895,70,5579,17721,
"Dural - Kenthurst - Wisemans Ferry",374,394,11,7,0,6775,369,253,51,16,264,55,1091,802,107,6464,17030,
"Galston - Laughtondale",156,29,0,0,0,1581,85,52,16,5,71,27,290,212,30,1687,4239,
"Bilpin - Colo - St Albans",22,0,11,0,0,777,47,28,5,0,40,12,117,131,13,1027,2238,
"Kurrajong Heights - Ebenezer",451,43,0,3,8,8081,401,383,44,8,123,42,771,907,148,6047,17471,
"Pitt Town - McGraths Hill",252,37,0,0,5,3834,189,206,18,7,105,21,382,397,37,2752,8253,
"Rouse Hill - Beaumont Hills",429,1184,0,0,8,7702,504,143,47,20,116,48,675,906,68,4952,16803,
"Blacktown (East) - Kings Park",1705,324,0,0,29,4254,324,83,25,21,217,38,145,583,83,5660,13487,
"Blacktown (North) - Marayong",1460,204,0,3,17,4857,386,93,42,21,77,31,133,550,71,6379,14315,
"Doonside - Woodcroft",2391,231,0,3,28,5868,531,72,33,8,66,45,204,653,102,7586,17837,
"Lalor Park - Kings Langley",1599,564,5,9,15,7245,528,119,68,33,103,41,388,927,118,8166,19918,
"Seven Hills - Toongabbie",2149,227,0,7,30,6586,505,105,56,25,141,45,251,774,108,8154,19166,
"Blacktown (South)",770,136,0,0,23,3450,313,61,22,13,88,27,94,377,79,4286,9726,
"Blacktown (West)",1283,220,4,0,24,4328,387,84,32,15,105,31,158,508,94,5557,12833,
"Glenwood",515,1237,0,6,20,5046,348,32,38,17,88,34,315,621,73,3988,12381,
"Parklea - Kellyville Ridge",1407,1739,5,5,27,10061,577,76,56,29,132,75,642,1154,99,7739,23823,
"Riverstone - Marsden Park",1142,146,0,0,21,5348,350,185,29,21,125,37,361,598,53,4995,13407,
"Acacia Gardens",284,124,0,0,3,1340,69,9,6,4,17,9,45,134,24,828,2900,
"Quakers Hill",2205,257,0,0,19,7266,482,86,44,27,75,46,362,934,85,5600,17493,
"Bidwill - Hebersham - Emerton",654,133,3,0,23,3631,490,74,30,18,68,24,85,402,114,8023,13780,
"Glendenning - Dean Park",525,112,0,0,10,2590,203,49,10,6,36,12,73,257,32,2370,6276,
"Hassall Grove - Plumpton",1452,171,5,4,16,6353,622,84,40,20,80,41,169,640,98,6109,15896,
"Lethbridge Park - Tregear",1026,132,0,3,20,4433,517,67,41,10,58,27,130,496,118,8138,15210,
"Mount Druitt - Whalan",1627,121,0,6,18,4520,510,82,31,6,167,38,157,524,127,9101,17044,
"Prospect Reservoir",0,0,0,0,0,8,0,3,0,0,4,0,0,0,0,14,32,
"Rooty Hill - Minchinbury",1801,96,0,6,20,6056,588,121,24,6,96,43,177,693,110,6934,16786,
"Banksmeadow",0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,6,19,
"Botany",408,553,0,0,14,3381,263,39,84,57,163,39,162,425,44,2959,8587,
"Mascot - Eastlakes",2773,1350,4,4,59,5052,560,46,119,133,752,78,306,890,116,8467,20715,
"Pagewood - Hillsdale - Daceyville",225,858,0,0,16,2753,256,37,54,65,216,22,154,356,51,4319,9382,
"Port Botany Industrial",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,10,
"Sydney Airport",0,0,0,0,0,7,0,0,0,0,3,0,0,9,0,40,61,
"Marrickville",4315,1133,4,96,48,4895,396,51,171,421,652,72,509,1043,106,8850,22757,
"Petersham - Stanmore",3882,1060,3,39,54,3673,255,24,138,409,749,70,487,906,84,5691,17522,
"Sydenham - Tempe - St Peters",1631,213,0,0,11,1602,108,23,62,124,212,24,174,302,49,2138,6670,
"Darlinghurst",1296,836,5,15,93,1185,112,3,98,174,2521,47,340,333,54,3656,10776,
"Erskineville - Alexandria",4259,480,3,4,57,2990,257,26,170,531,986,51,443,730,61,3427,14481,
"Glebe - Forest Lodge",991,2339,10,263,95,2811,319,14,165,428,1765,54,514,822,77,7198,17870,
"Newtown - Camperdown - Darlington",4573,1546,3,8,78,3042,274,26,185,678,2010,86,626,1313,140,8125,22704,
"Potts Point - Woolloomooloo",3518,764,10,13,225,1930,229,7,149,206,3366,496,578,641,100,8178,20414,
"Pyrmont - Ultimo",1358,1330,24,207,137,2053,275,8,107,215,4235,64,473,882,126,8599,20093,
"Redfern - Chippendale",3271,1414,9,44,120,2040,195,12,147,521,2462,94,428,825,117,9536,21228,
"Surry Hills",2223,1296,5,68,135,1469,176,3,111,298,3260,65,473,517,72,5429,15606,
"Sydney - Haymarket - The Rocks",3286,1675,24,127,117,1407,233,3,55,106,6308,129,521,933,205,11030,26158,
"Waterloo - Beaconsfield",3186,3389,4,13,130,5482,610,55,289,567,1374,111,560,1138,134,13190,30235,
"Bondi - Tamarama - Bronte",2580,923,22,10,69,3791,325,42,323,325,547,57,638,689,83,5174,15586,
"Bondi Beach - North Bondi",2715,1180,202,5,82,4347,384,45,423,268,660,71,718,660,113,5672,17543,
"Bondi Junction - Waverly",2829,697,4,3,50,2424,216,21,130,220,770,63,503,614,85,5699,14332,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",3083,575,409,0,125,4935,421,24,172,139,855,103,1049,802,125,8464,21296,
"Dover Heights",588,361,204,5,26,2985,194,14,109,28,162,46,416,321,44,3141,8650,
"Paddington - Moore Park",822,1970,12,6,123,2479,278,16,141,234,1572,51,629,594,68,4196,13194,
"Rose Bay - Vaucluse - Watsons Bay",391,338,390,0,25,2658,208,17,74,24,227,53,539,383,56,4058,9440,
"Woollahra",1012,346,12,3,41,1327,157,3,32,56,339,31,351,228,31,2589,6547,
"Coogee - Clovelly",706,3469,3,5,69,5988,479,68,282,363,652,93,784,1062,121,7102,21250,
"Malabar - La Perouse - Chifley",216,1422,0,0,30,6166,471,88,122,96,228,50,423,803,115,9820,20044,
"Kensington (NSW)",375,1787,0,4,31,2137,230,13,84,174,649,37,254,673,69,6892,13421,
"Kingsford",322,1706,0,0,20,2384,247,28,77,110,654,25,234,508,56,7463,13835,
"Maroubra - North",170,938,0,0,22,2497,194,28,78,72,112,39,258,366,27,3418,8211,
"Maroubra - South",140,1016,0,0,11,2587,180,26,106,83,117,39,213,412,40,3963,8926,
"Maroubra - West",176,1262,4,0,16,2020,206,37,69,34,222,23,186,388,41,3896,8581,
"Randwick - North",802,2265,0,3,51,3625,269,43,156,318,781,71,469,695,58,4587,14199,
"Randwick - South",373,1854,4,0,33,2328,194,25,103,166,910,44,281,591,53,4273,11228,
"Bass Hill - Georges Hall",705,127,0,3,18,5220,430,133,16,21,90,40,240,511,123,9238,16921,
"Chullora",112,0,0,0,0,249,22,0,0,0,3,0,9,23,3,281,711,
"Condell Park",487,62,0,0,7,2840,256,85,15,7,63,36,118,264,51,4354,8652,
"Greenacre - Mount Lewis",920,162,4,5,43,5723,520,162,20,11,150,61,289,515,170,10923,19681,
"Padstow",1670,142,0,3,7,4357,259,65,22,9,97,42,242,568,61,6123,13678,
"Panania - Milperra - Picnic Point",2174,92,4,8,8,7549,432,159,41,27,149,54,405,1015,95,8347,20559,
"Revesby",1644,113,0,0,16,4205,290,70,24,18,137,26,196,518,54,5833,13143,
"Yagoona - Birrong",1184,137,0,0,24,4709,373,101,22,10,105,45,240,476,102,8681,16212,
"Bankstown - North",1236,155,6,5,33,3356,272,50,10,9,192,33,134,378,70,6638,12582,
"Bankstown - South",1006,149,6,6,18,3257,327,56,14,13,215,27,121,310,85,7005,12606,
"Belmore - Belfield",1609,165,3,12,23,4566,366,89,41,18,170,57,211,565,99,7528,15513,
"Canterbury (South) - Campsie",3913,659,0,26,53,6337,670,91,74,37,483,74,269,921,158,12063,25835,
"Kingsgrove (North) - Earlwood",2019,399,0,41,31,5956,434,114,84,96,153,50,403,778,123,8633,19311,
"Punchbowl",1315,107,0,0,42,4269,425,115,22,18,128,64,172,452,159,8806,16083,
"Roselands",929,96,0,13,20,3575,240,58,19,8,81,32,152,367,57,5176,10813,
"Lakemba",1442,78,0,0,68,2952,255,24,23,7,214,49,131,325,104,7063,12733,
"Wiley Park",965,19,4,0,47,1972,154,27,8,4,76,23,64,248,50,4082,7740,
"Hurstville",3862,201,3,8,9,4194,439,41,23,9,555,39,259,735,120,9632,20134,
"Mortdale - Penshurst",3872,196,0,6,18,5653,396,78,52,36,276,64,381,972,90,7697,19780,
"Narwee - Beverly Hills",1722,82,4,0,8,3062,208,39,24,5,121,28,162,445,51,5478,11438,
"Oatley - Hurstville Grove",1835,46,0,0,6,3052,202,42,21,25,125,25,296,537,41,4139,10390,
"Peakhurst - Lugarno",1522,99,0,3,16,4918,281,93,26,24,82,27,358,732,57,6451,14672,
"Riverwood",1356,98,0,3,7,2018,187,33,21,4,105,18,96,341,78,5141,9508,
"South Hurstville - Blakehurst",3067,199,0,4,15,5664,435,59,31,13,357,52,419,842,95,8854,20101,
