Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA2 (UR)",
"Baulkham Hills (East)",1681,3505,1221,888,1791,983,359,567,115,85,6720,17922,
"Baulkham Hills (West) - Bella Vista",1742,3192,1018,854,1826,994,315,474,107,65,5552,16144,
"Glenhaven",629,798,286,243,491,326,64,114,33,19,2113,5116,
"West Pennant Hills",1272,2291,497,403,1040,599,116,202,70,40,3902,10438,
"Castle Hill - Central",664,1183,389,341,572,348,89,185,35,18,2212,6039,
"Castle Hill - East",416,693,177,162,338,234,37,74,16,6,2625,4799,
"Castle Hill - North",1160,1796,550,437,887,615,135,236,61,26,3658,9576,
"Castle Hill - South",859,1472,460,363,687,452,146,202,63,31,2798,7547,
"Castle Hill - West",539,888,202,186,455,264,69,98,39,16,1365,4122,
"Cherrybrook",1597,3281,686,673,1549,838,205,381,95,38,5989,15340,
"Kellyville",1999,3400,1238,988,2040,1272,377,604,146,79,5579,17721,
"Dural - Kenthurst - Wisemans Ferry",2137,2282,1515,797,1621,940,403,689,105,85,6464,17030,
"Galston - Laughtondale",457,592,395,204,370,229,86,182,32,17,1687,4239,
"Bilpin - Colo - St Albans",208,192,246,110,113,73,100,143,17,9,1027,2238,
"Kurrajong Heights - Ebenezer",1596,1846,2181,1085,1745,946,812,1011,107,100,6047,17471,
"Pitt Town - McGraths Hill",903,692,1088,444,957,458,442,433,52,35,2752,8253,
"Rouse Hill - Beaumont Hills",2054,3038,1327,973,1991,1209,450,604,135,65,4952,16803,
"Blacktown (East) - Kings Park",664,1519,1006,797,1153,666,922,937,80,70,5660,13487,
"Blacktown (North) - Marayong",717,1228,1142,864,1235,738,921,938,96,60,6379,14315,
"Doonside - Woodcroft",815,2018,1198,993,1821,874,1167,1138,128,99,7586,17837,
"Lalor Park - Kings Langley",1354,2466,1689,1093,2002,1017,909,980,140,96,8166,19918,
"Seven Hills - Toongabbie",1026,2242,1465,1021,1851,992,1016,1161,150,90,8154,19166,
"Blacktown (South)",443,879,764,567,898,506,630,626,63,55,4286,9726,
"Blacktown (West)",582,1160,973,786,1138,704,917,816,105,88,5557,12833,
"Glenwood",1183,2234,809,764,1403,807,507,527,96,63,3988,12381,
"Parklea - Kellyville Ridge",2485,4620,1657,1291,2669,1550,799,762,158,89,7739,23823,
"Riverstone - Marsden Park",1044,1706,1224,722,1347,722,810,701,81,62,4995,13407,
"Acacia Gardens",253,495,249,188,378,207,154,118,18,9,828,2900,
"Quakers Hill",1293,2672,1437,1164,2155,1181,899,883,134,69,5600,17493,
"Bidwill - Hebersham - Emerton",267,480,711,647,793,501,1151,1016,85,102,8023,13780,
"Glendenning - Dean Park",291,566,547,420,681,368,547,416,49,32,2370,6276,
"Hassall Grove - Plumpton",660,1406,1286,1013,1643,932,1438,1206,117,81,6109,15896,
"Lethbridge Park - Tregear",467,874,799,790,1019,643,1240,1050,93,112,8138,15210,
"Mount Druitt - Whalan",439,971,1030,961,1148,745,1337,1121,111,88,9101,17044,
"Prospect Reservoir",0,0,6,0,0,0,0,3,0,0,14,32,
"Rooty Hill - Minchinbury",731,1580,1304,1030,1653,938,1346,1076,114,80,6934,16786,
"Banksmeadow",0,0,4,0,0,3,0,0,0,0,6,19,
