Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SA4 (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SA4 (POW)","Sydney - Baulkham Hills and Hawkesbury","Sydney - Blacktown","Sydney - City and Inner South","Sydney - Eastern Suburbs","Sydney - Inner South West","Sydney - Inner West","Sydney - North Sydney and Hornsby","Sydney - Northern Beaches","Sydney - Outer South West","Sydney - Outer West and Blue Mountains","Sydney - Parramatta","Sydney - Ryde","Sydney - South West","Sydney - Sutherland","Total",
"SA2 (UR)",
"Baulkham Hills (East)",2883,777,1814,87,212,392,922,89,42,221,2200,834,231,17,10715,
"Baulkham Hills (West) - Bella Vista",3429,1007,1462,76,141,325,577,56,37,247,1898,561,292,14,10129,
"Glenhaven",1278,249,307,12,30,65,245,20,12,60,316,201,52,0,2858,
"West Pennant Hills",1444,242,1237,52,122,208,900,68,13,88,999,801,96,12,6267,
"Castle Hill - Central",1255,224,593,20,53,81,329,42,12,78,574,283,82,3,3636,
"Castle Hill - East",661,75,379,16,20,72,270,32,6,31,265,228,27,3,2087,
"Castle Hill - North",2214,385,811,29,87,144,520,43,25,113,807,378,110,0,5668,
"Castle Hill - South",1602,278,702,34,73,122,422,38,14,80,689,385,113,7,4554,
"Castle Hill - West",925,230,393,18,42,81,200,16,11,78,402,180,71,5,2650,
"Cherrybrook",2415,332,1827,74,118,274,1482,102,23,114,934,1140,118,8,8966,
"Kellyville",4265,1189,1440,59,150,338,856,92,59,334,1737,755,301,15,11573,
"Dural - Kenthurst - Wisemans Ferry",5151,702,832,38,84,202,929,70,40,280,861,509,131,13,9853,
"Galston - Laughtondale",1306,68,209,5,22,44,347,36,11,24,156,128,18,7,2375,
"Bilpin - Colo - St Albans",560,81,43,9,3,12,35,4,9,227,52,14,13,0,1054,
"Kurrajong Heights - Ebenezer",3808,1172,398,19,62,92,199,48,45,3677,656,137,170,23,10513,
"Pitt Town - McGraths Hill",2349,720,207,19,39,57,159,19,25,805,386,124,119,4,5039,
"Rouse Hill - Beaumont Hills",4089,1502,1265,58,151,308,717,59,47,530,1627,580,291,19,11248,
"Blacktown (East) - Kings Park",648,2437,976,79,170,279,377,38,56,347,1378,339,316,15,7464,
"Blacktown (North) - Marayong",626,2682,849,52,170,257,312,39,59,453,1440,285,321,18,7544,
