SA2_MAINCODE_2016,SA2_NAME_2016,POA_CODE_2016,POA_NAME_2016,RATIO,PERCENTAGE
,,,,,
101021007,Braidwood,2580,2580,0.051078,5.1078013
101021007,Braidwood,2622,2622,0.948922,94.8921987
101021008,Karabar,2620,2620,1,100
101021009,Queanbeyan,2620,2620,1,100
101021010,Queanbeyan - East,2620,2620,1,100
101021011,Queanbeyan Region,2580,2580,0.0376018,3.7601773
101021011,Queanbeyan Region,2581,2581,0.0057439,0.5743894
101021011,Queanbeyan Region,2620,2620,0.5585789,55.8578874
101021011,Queanbeyan Region,2621,2621,0.3510584,35.1058416
101021011,Queanbeyan Region,2622,2622,0.0108956,1.0895636
101021011,Queanbeyan Region,2623,2623,0.0361214,3.6121406
101021012,Queanbeyan West - Jerrabomberra,2619,2619,0.7529085,75.2908512
101021012,Queanbeyan West - Jerrabomberra,2620,2620,0.2470915,24.7091488
101031013,Bombala,2630,2630,0.0296142,2.9614179
101031013,Bombala,2631,2631,0.0567258,5.6725756
101031013,Bombala,2632,2632,0.7574558,75.7455775
101031013,Bombala,2633,2633,0.1562043,15.6204282
101031014,Cooma,2630,2630,1,100
101031015,Cooma Region,2626,2626,0.1550434,15.5043429
101031015,Cooma Region,2627,2627,0.0018312,0.1831228
101031015,Cooma Region,2629,2629,0.1451244,14.5124419
101031015,Cooma Region,2630,2630,0.5631009,56.3100905
101031015,Cooma Region,2631,2631,0.1349,13.4900015
101031016,Jindabyne - Berridale,2625,2625,0.0566405,5.6640527
101031016,Jindabyne - Berridale,2627,2627,0.6651293,66.5129335
101031016,Jindabyne - Berridale,2628,2628,0.2727534,27.2753449
101031016,Jindabyne - Berridale,2630,2630,0.0054767,0.547669
101041017,Batemans Bay,2536,2536,1,100
101041018,Batemans Bay - South,2536,2536,1,100
101041019,Bega - Tathra,2548,2548,0.0003579,0.0357867
101041019,Bega - Tathra,2550,2550,0.9996421,99.9642133
101041020,Bega-Eden Hinterland,2546,2546,0.0154898,1.5489756
101041020,Bega-Eden Hinterland,2548,2548,0.0058087,0.5808658
101041020,Bega-Eden Hinterland,2549,2549,0.094533,9.4533027
101041020,Bega-Eden Hinterland,2550,2550,0.849886,84.9886047
101041020,Bega-Eden Hinterland,2551,2551,0.0313212,3.1321232
101041020,Bega-Eden Hinterland,2632,2632,0.0029613,0.296128
101041021,Broulee - Tomakin,2537,2537,1,100
101041022,Deua - Wadbilliga,2537,2537,0.1153831,11.5383077
101041022,Deua - Wadbilliga,2545,2545,0.3076919,30.7691923
101041022,Deua - Wadbilliga,2546,2546,0.4615327,46.1532692
