Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SEXP Sex","Female","Male","Total",
"SA2 (UR)",
"Baulkham Hills (East)",9230,8692,17922,
"Baulkham Hills (West) - Bella Vista",8312,7831,16144,
"Glenhaven",2671,2447,5116,
"West Pennant Hills",5342,5096,10438,
"Castle Hill - Central",3149,2883,6039,
"Castle Hill - East",2700,2093,4799,
"Castle Hill - North",4894,4681,9576,
"Castle Hill - South",3912,3634,7547,
"Castle Hill - West",2145,1974,4122,
"Cherrybrook",7933,7405,15340,
"Kellyville",9060,8662,17721,
"Dural - Kenthurst - Wisemans Ferry",8611,8424,17030,
"Galston - Laughtondale",2177,2060,4239,
"Bilpin - Colo - St Albans",1083,1157,2238,
"Kurrajong Heights - Ebenezer",8739,8735,17471,
"Pitt Town - McGraths Hill",4113,4140,8253,
"Rouse Hill - Beaumont Hills",8543,8256,16803,
"Blacktown (East) - Kings Park",6640,6838,13487,
"Blacktown (North) - Marayong",7256,7057,14315,
"Doonside - Woodcroft",9142,8687,17837,
"Lalor Park - Kings Langley",10046,9870,19918,
"Seven Hills - Toongabbie",9552,9609,19166,
"Blacktown (South)",4895,4828,9726,
"Blacktown (West)",6448,6386,12833,
"Glenwood",6284,6099,12381,
"Parklea - Kellyville Ridge",11744,12079,23823,
"Riverstone - Marsden Park",6655,6755,13407,
"Acacia Gardens",1486,1414,2900,
"Quakers Hill",8994,8496,17493,
"Bidwill - Hebersham - Emerton",7292,6496,13780,
"Glendenning - Dean Park",3209,3068,6276,
"Hassall Grove - Plumpton",8150,7746,15896,
"Lethbridge Park - Tregear",7984,7222,15210,
"Mount Druitt - Whalan",8713,8332,17044,
"Prospect Reservoir",8,24,32,
"Rooty Hill - Minchinbury",8636,8155,16786,
"Banksmeadow",11,9,19,
"Botany",4345,4245,8587,
"Mascot - Eastlakes",10377,10333,20715,
"Pagewood - Hillsdale - Daceyville",4840,4540,9382,
"Port Botany Industrial",0,6,10,
"Sydney Airport",22,35,61,
"Marrickville",11759,11000,22757,
"Petersham - Stanmore",8907,8612,17522,
"Sydenham - Tempe - St Peters",3321,3359,6670,
"Darlinghurst",4481,6292,10776,
"Erskineville - Alexandria",7048,7437,14481,
"Glebe - Forest Lodge",9387,8487,17870,
"Newtown - Camperdown - Darlington",11573,11139,22704,
"Potts Point - Woolloomooloo",8867,11542,20414,
"Pyrmont - Ultimo",10159,9931,20093,
"Redfern - Chippendale",10261,10971,21228,
"Surry Hills",6576,9027,15606,
"Sydney - Haymarket - The Rocks",12990,13166,26158,
"Waterloo - Beaconsfield",14735,15502,30235,
"Bondi - Tamarama - Bronte",7981,7610,15586,
"Bondi Beach - North Bondi",8908,8628,17543,
"Bondi Junction - Waverly",7677,6655,14332,
"Centennial Park",0,0,0,
"Double Bay - Bellevue Hill",11486,9809,21296,
"Dover Heights",4586,4061,8650,
"Paddington - Moore Park",6983,6214,13194,
"Rose Bay - Vaucluse - Watsons Bay",5081,4362,9440,
"Woollahra",3641,2913,6547,
"Coogee - Clovelly",11294,9960,21250,
"Malabar - La Perouse - Chifley",9589,10454,20044,
"Kensington (NSW)",6688,6728,13421,
"Kingsford",6792,7043,13835,
"Maroubra - North",4314,3896,8211,
"Maroubra - South",4722,4204,8926,
"Maroubra - West",4387,4196,8581,
"Randwick - North",7567,6633,14199,
"Randwick - South",5845,5377,11228,
"Bass Hill - Georges Hall",8677,8246,16921,
"Chullora",364,345,711,
"Condell Park",4416,4239,8652,
"Greenacre - Mount Lewis",10088,9592,19681,
"Padstow",7109,6576,13678,
"Panania - Milperra - Picnic Point",10586,9974,20559,
"Revesby",6862,6286,13143,
"Yagoona - Birrong",8219,7990,16212,
"Bankstown - North",6480,6101,12582,
"Bankstown - South",6431,6180,12606,
"Belmore - Belfield",7950,7562,15513,
"Canterbury (South) - Campsie",13054,12780,25835,
"Kingsgrove (North) - Earlwood",9958,9354,19311,
"Punchbowl",7898,8190,16083,
"Roselands",5532,5283,10813,
"Lakemba",5734,7000,12733,
"Wiley Park",3632,4105,7740,
"Hurstville",10340,9798,20134,
"Mortdale - Penshurst",10330,9449,19780,
"Narwee - Beverly Hills",6033,5407,11438,
"Oatley - Hurstville Grove",5312,5079,10390,
"Peakhurst - Lugarno",7697,6977,14672,
"Riverwood",4905,4606,9508,
"South Hurstville - Blakehurst",10402,9700,20101,
"Arncliffe - Bardwell Valley",9228,9242,18469,
"Bexley",11105,10642,21750,
"Kingsgrove (South) - Bardwell Park",5361,4992,10348,
"Kogarah",4780,4677,9456,
"Kogarah Bay - Carlton - Allawah",6718,6544,13262,
"Monterey - Brighton-le-Sands - Kyeemagh",6130,5594,11728,
"Rockdale - Banksia",8404,8779,17184,
"Sans Souci - Ramsgate",7103,6218,13316,
"Concord - Mortlake - Cabarita",9479,8527,18005,
"Concord West - North Strathfield",10792,10381,21179,
"Drummoyne - Rodd Point",8168,6981,15149,
"Five Dock - Abbotsford",9083,7846,16930,
"Balmain",6831,6119,12952,
"Leichhardt - Annandale",11313,10118,21438,
"Lilyfield - Rozelle",6073,5342,11413,
"Ashfield",10847,10615,21461,
"Burwood - Croydon",11319,10323,21641,
"Canterbury (North) - Ashbury",4486,4212,8698,
"Croydon Park - Enfield",7586,6670,14260,
"Dulwich Hill - Lewisham",7547,6711,14255,
"Haberfield - Summer Hill",5791,5392,11186,
"Homebush",6472,7252,13728,
"Strathfield",10909,10969,21870,
"Strathfield South",1488,1421,2909,
"Chatswood (East) - Artarmon",12656,11018,23670,
"Chatswood (West) - Lane Cove North",9024,8248,17267,
"Lane Cove - Greenwich",11044,10517,21559,
"St Leonards - Naremburn",4604,4291,8898,
"Willoughby - Castle Cove - Northbridge",10322,9331,19651,
"Asquith - Mount Colah",7395,7000,14393,
"Berowra - Brooklyn - Cowan",4628,4509,9140,
"Normanhurst - Thornleigh - Westleigh",7636,7039,14678,
"Hornsby - East",5039,4650,9689,
"Hornsby - West",4418,4184,8595,
"Waitara - Wahroonga (West)",4055,3596,7656,
"Gordon - Killara",9200,8174,17373,
"Lindfield - Roseville",9556,8675,18229,
"Pymble",6721,5996,12722,
"St Ives",8591,7586,16175,
"Turramurra",8307,7209,15516,
